bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001134,0.000030,,1786.914071,0.001181,0.000042,0.001148,1741.553466,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001133,0.000030,,1786.914071,0.001183,0.000035,0.001149,1740.959199,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053279,0.000030,,4806.434374,0.053588,0.000017,0.053574,4778.461384,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053248,0.000016,,4809.373710,0.053565,0.000022,0.053540,4781.428751,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003612,0.000033,,4479.433800,0.003669,0.000059,0.003605,4437.710219,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003614,0.000033,,4491.596223,0.003654,0.000034,0.003596,4449.723547,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.001221,0.000001,,819.935586,0.001282,0.000042,0.001253,798.013903,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.001200,0.000050,,900.485542,0.001253,0.000041,0.001180,847.564650,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000276,0.000008,,N/A,0.000318,0.000024,0.000302,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000309,0.000014,0.000302,N/A,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.001997,0.000031,,4090.347598,0.002050,0.000068,0.001991,4018.297317,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002040,0.000052,,4073.021123,0.002083,0.000037,0.002044,3913.354420,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000248,0.000000,,N/A,0.000288,0.000024,0.000277,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000248,0.000000,,N/A,0.000289,0.000017,0.000277,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013503,0.000035,,4754.060562,0.013689,0.000034,0.013641,4691.644592,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013562,0.000043,,4730.161996,0.013737,0.000071,0.013675,4679.928023,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000420,0.000026,0.000408,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000418,0.000019,0.000408,N/A,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053279,0.000055,,4808.791192,0.053584,0.000055,0.053541,4781.414731,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053244,0.000024,,4810.294752,0.053549,0.000024,0.053521,4783.125611,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.002039,0.000039,,4017.290418,0.002093,0.000071,0.002024,3951.829178,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002023,0.000029,,4010.797066,0.002064,0.000034,0.002026,3948.885624,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003612,0.000041,,4505.275678,0.003671,0.000024,0.003648,4385.726871,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003616,0.000022,,4451.566952,0.003663,0.000036,0.003632,4405.292408,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006894,0.000019,,4658.475514,0.006955,0.000052,0.006913,4629.221760,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006921,0.000039,,4666.034419,0.006988,0.000046,0.006921,4623.871866,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000693,0.000001,,N/A,0.000742,0.000042,0.000721,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000692,0.000001,,N/A,0.000728,0.000013,0.000720,N/A,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006897,0.000022,,4655.585597,0.006963,0.000046,0.006921,4623.909949,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006926,0.000034,,4659.745392,0.006992,0.000048,0.006917,4626.246954,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006915,0.000051,,4674.043866,0.006984,0.000080,0.006889,4645.193582,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006912,0.000055,,4658.546044,0.006963,0.000049,0.006921,4623.855830,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001160,0.000037,,1787.578475,0.001208,0.000063,0.001150,1739.342181,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001134,0.000033,,1786.582054,0.001174,0.000035,0.001149,1740.960714,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053240,0.000016,,4809.956369,0.053558,0.000016,0.053536,4781.785462,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053266,0.000016,,4807.729868,0.053574,0.000013,0.053553,4780.299400,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001035,0.000001,,1934.490417,0.001123,0.000083,0.001079,1853.046037,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001075,0.000039,,1935.074384,0.001127,0.000057,0.001069,1870.552178,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106240,0.000047,,4821.403173,0.106783,0.000044,0.106745,4796.468645,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106256,0.000035,,4819.911537,0.106797,0.000044,0.106756,4795.982825,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000280,0.000020,0.000270,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000281,0.000013,0.000270,N/A,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003640,0.000018,,4418.961765,0.003693,0.000033,0.003655,4376.991360,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003626,0.000026,,4446.163628,0.003678,0.000052,0.003643,4391.883360,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.001101,0.000001,,909.084298,0.001161,0.000039,0.001132,883.368815,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.001061,0.000056,,1000.976954,0.001110,0.000065,0.001034,967.335031,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001135,0.000031,,1785.089504,0.001184,0.000043,0.001152,1736.055352,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001120,0.000000,,1786.416092,0.001162,0.000027,0.001150,1739.608449,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013529,0.000015,,4736.606210,0.013696,0.000020,0.013678,4678.995674,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013581,0.000040,,4725.839294,0.013760,0.000032,0.013728,4661.910935,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.000885,0.000047,,1201.022310,0.000936,0.000075,0.000864,1157.060557,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.000917,0.000001,,1092.036867,0.000956,0.000016,0.000948,1054.696564,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.002029,0.000023,,4017.080627,0.002080,0.000020,0.002062,3879.096326,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002030,0.000025,,3998.704420,0.002075,0.000020,0.002041,3919.528167,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000419,0.000024,0.000406,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000417,0.000018,0.000407,N/A,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000315,0.000023,0.000302,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000308,0.000013,0.000301,N/A,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.000963,0.000050,,1102.428871,0.001016,0.000033,0.000957,1045.031450,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.000947,0.000048,,1099.277994,0.000988,0.000044,0.000940,1063.343364,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,0.026776,0.000035,,4786.619961,0.027001,0.000023,0.026965,4746.899579,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,0.026757,0.000030,,4791.707471,0.026988,0.000037,0.026929,4753.266655,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000272,0.000000,,N/A,0.000325,0.000014,0.000318,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000272,0.000000,,N/A,0.000328,0.000021,0.000318,N/A,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.001159,0.000049,,933.351254,0.001214,0.000005,0.001209,826.947233,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.001180,0.000002,,849.790951,0.001221,0.000015,0.001208,828.073685,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013530,0.000021,,4738.539251,0.013694,0.000020,0.013668,4682.575522,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013520,0.000029,,4745.811377,0.013689,0.000032,0.013651,4688.354457,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053278,0.000023,,4807.269794,0.053621,0.000037,0.053582,4777.692387,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053269,0.000022,,4808.321522,0.053592,0.000020,0.053567,4779.064234,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,0.026811,0.000053,,4785.280000,0.027032,0.000058,0.026966,4746.648736,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,0.026787,0.000028,,4783.513144,0.027017,0.000036,0.026983,4743.659145,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106264,0.000008,,4818.750965,0.106804,0.000009,0.106793,4794.341883,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106279,0.000019,,4818.345368,0.106839,0.000029,0.106808,4793.632483,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,0.000894,0.000001,,4479.564228,0.000941,0.000040,0.000922,4340.028188,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,0.000894,0.000002,,4487.403857,0.000931,0.000018,0.000920,4347.896977,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001034,0.000001,,1936.243378,0.001087,0.000045,0.001066,1876.014220,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001042,0.000010,,1935.853557,0.001087,0.000027,0.001065,1877.590488,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000423,0.000030,0.000408,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000425,0.000028,0.000408,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000718,0.000001,,N/A,0.000765,0.000038,0.000748,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000718,0.000001,,N/A,0.000770,0.000032,0.000749,N/A,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,0.026800,0.000038,,4785.373029,0.027025,0.000036,0.026992,4742.071331,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,0.026791,0.000036,,4785.726571,0.027032,0.000043,0.026990,4742.469459,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,0.000894,0.000001,,4483.741952,0.000944,0.000032,0.000923,4332.089302,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,0.000883,0.000023,,4744.823398,0.000920,0.000004,0.000913,4379.961675,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013545,0.000032,,4736.423929,0.013701,0.000027,0.013668,4682.301457,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013531,0.000016,,4737.554297,0.013688,0.000014,0.013667,4682.744088,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,0.000895,0.000001,,4477.478284,0.000941,0.000038,0.000922,4338.677137,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,0.000893,0.000002,,4495.796430,0.000927,0.000013,0.000918,4355.580915,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.002028,0.000018,,3984.412976,0.002079,0.000052,0.002041,3920.500099,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002015,0.000046,,4081.232859,0.002056,0.000038,0.001993,4013.372557,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000419,0.000023,0.000407,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000414,0.000017,0.000406,N/A,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,0.000884,0.000023,,4748.924369,0.000929,0.000047,0.000871,4589.940457,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,0.000895,0.000001,,4480.086018,0.000930,0.000013,0.000922,4338.319509,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006926,0.000022,,4643.501014,0.006991,0.000061,0.006932,4615.946740,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006919,0.000040,,4642.520146,0.006982,0.000037,0.006954,4601.453714,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000421,0.000020,0.000407,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000425,0.000024,0.000406,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000694,0.000002,,N/A,0.000744,0.000034,0.000725,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000696,0.000006,,N/A,0.000741,0.000030,0.000722,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000249,0.000000,,N/A,0.000287,0.000020,0.000277,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000248,0.000000,,N/A,0.000284,0.000013,0.000278,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106301,0.000028,,4818.246338,0.106814,0.000043,0.106756,4796.005422,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106261,0.000049,,4821.634554,0.106800,0.000053,0.106717,4797.730853,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000776,0.000007,,N/A,0.000825,0.000039,0.000803,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000774,0.000001,,N/A,0.000812,0.000016,0.000804,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000773,0.000001,,N/A,0.000829,0.000039,0.000804,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000776,0.000008,,N/A,0.000820,0.000016,0.000802,N/A,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006899,0.000042,,4679.446234,0.006966,0.000030,0.006938,4612.550115,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006896,0.000011,,4647.007501,0.006948,0.000024,0.006931,4616.942390,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,0.000894,0.000001,,4481.129962,0.000940,0.000035,0.000922,4337.924303,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,0.000884,0.000023,,4744.823398,0.000928,0.000009,0.000921,4342.237816,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106306,0.000059,,4818.916053,0.106834,0.000066,0.106786,4794.615437,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106283,0.000028,,4818.661350,0.106812,0.000032,0.106769,4795.404085,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106254,0.000049,,4821.266244,0.106762,0.000042,0.106717,4797.732607,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106250,0.000040,,4820.907432,0.106768,0.000024,0.106743,4796.565479,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,0.026776,0.000048,,4787.252981,0.027003,0.000057,0.026961,4747.587465,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,0.026751,0.000032,,4792.285857,0.026983,0.000043,0.026918,4755.143895,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000284,0.000020,0.000270,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000279,0.000018,0.000270,N/A,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053274,0.000041,,4809.975167,0.053592,0.000051,0.053519,4783.386223,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053345,0.000076,,4805.993314,0.053669,0.000088,0.053593,4776.777636,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003608,0.000027,,4455.176470,0.003669,0.000076,0.003625,4413.321943,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003618,0.000041,,4484.787600,0.003669,0.000068,0.003601,4443.814904,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,0.026764,0.000031,,4788.016552,0.026995,0.000046,0.026943,4750.802412,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,0.026768,0.000035,,4788.277339,0.026983,0.000041,0.026933,4752.489952,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013517,0.000043,,4752.408431,0.013676,0.000042,0.013625,4697.359064,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013551,0.000032,,4738.429791,0.013712,0.000049,0.013644,4690.664252,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000314,0.000025,0.000302,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000312,0.000013,0.000303,N/A,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000310,0.000018,0.000301,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000272,0.000000,,N/A,0.000317,0.000015,0.000301,N/A,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003629,0.000018,,4432.329411,0.003680,0.000050,0.003644,4390.723937,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003643,0.000037,,4444.237047,0.003687,0.000050,0.003636,4401.013774,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000285,0.000026,0.000270,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000280,0.000023,0.000269,N/A,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.002011,0.000031,,4076.258647,0.002065,0.000048,0.002005,3989.107741,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002023,0.000051,,4080.583360,0.002073,0.000063,0.001992,4015.443395,,,,
