bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-max,run-time-mean,run-time-stddev,run-time-min,run-time-max,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
OptimizedVectorAddition_int32_sg8,0,0,2097152,128,1,0.000058,0.000001,,,0.000153,0.000017,0.000126,,0.002320,0.013728,0.095581,0.000000
OptimizedVectorAddition_int64_sg8,0,0,2097152,128,1,0.000136,0.000010,,,0.000231,0.000018,0.000193,,0.005375,0.017042,0.106079,0.000000
OptimizedVectorAddition_fp32_sg8,0,0,2097152,128,1,0.000058,0.000001,,,0.000155,0.000018,0.000129,,0.001192,0.010047,0.096008,0.000000
OptimizedVectorAddition_int32_sg16,0,0,2097152,128,1,0.000075,0.000001,,,0.000172,0.000016,0.000148,,0.003665,0.017385,0.097595,0.000000
OptimizedVectorAddition_int64_sg16,0,0,2097152,128,1,0.000144,0.000008,,,0.000243,0.000018,0.000208,,0.005715,0.017453,0.090332,0.000000
OptimizedVectorAddition_fp32_sg16,0,0,2097152,128,1,0.000077,0.000003,,,0.000175,0.000020,0.000146,,0.002993,0.014605,0.097351,0.000000
OptimizedVectorAddition_int32_sg32,0,0,2097152,128,1,0.000082,0.000001,,,0.000181,0.000016,0.000153,,0.003250,0.015436,0.098450,0.000000
OptimizedVectorAddition_int64_sg32,0,0,2097152,128,1,0.000179,0.000019,,,0.000275,0.000026,0.000233,,0.008734,0.020995,0.084595,0.000000
OptimizedVectorAddition_fp32_sg32,0,0,2097152,128,1,0.000080,0.000001,,,0.000174,0.000017,0.000147,,0.004217,0.018469,0.104187,0.000000
OptimizedVectorAddition_int32_sg8,0,0,2097152,64,1,0.000058,0.000001,,,0.000154,0.000022,0.000127,,0.002080,0.013084,0.098023,0.000000
OptimizedVectorAddition_int64_sg8,0,0,2097152,64,1,0.000201,0.000069,,,0.000311,0.000082,0.000197,,0.007748,0.018616,0.076904,0.000000
OptimizedVectorAddition_fp32_sg8,0,0,2097152,64,1,0.000062,0.000014,,,0.000161,0.000027,0.000130,,0.002137,0.011831,0.076965,0.000000
OptimizedVectorAddition_int32_sg16,0,0,2097152,64,1,0.000078,0.000001,,,0.000180,0.000016,0.000153,,0.002177,0.012222,0.080201,0.000000
OptimizedVectorAddition_int64_sg16,0,0,2097152,64,1,0.000145,0.000011,,,0.000239,0.000019,0.000202,,0.006892,0.019355,0.087281,0.000000
OptimizedVectorAddition_fp32_sg16,0,0,2097152,64,1,0.000078,0.000005,,,0.000171,0.000016,0.000147,,0.002719,0.013764,0.087524,0.000000
OptimizedVectorAddition_int32_sg32,0,0,2097152,64,1,0.000082,0.000001,,,0.000182,0.000016,0.000153,,0.003350,0.015337,0.087647,0.000000
OptimizedVectorAddition_int64_sg32,0,0,2097152,64,1,0.000168,0.000007,,,0.000262,0.000017,0.000232,,0.009759,0.023250,0.091614,0.000000
OptimizedVectorAddition_fp32_sg32,0,0,2097152,64,1,0.000082,0.000004,,,0.000178,0.000017,0.000155,,0.002814,0.014097,0.090637,0.000000
OptimizedVectorAddition_int32_sg8,0,0,2097152,1024,1,0.000058,0.000001,,,0.000159,0.000021,0.000128,,0.002181,0.013664,0.098633,0.000000
OptimizedVectorAddition_int64_sg8,0,0,2097152,1024,1,0.000149,0.000025,,,0.000245,0.000032,0.000189,,0.007637,0.019218,0.094421,0.000000
OptimizedVectorAddition_fp32_sg8,0,0,2097152,1024,1,0.000058,0.000001,,,0.000152,0.000018,0.000126,,0.001785,0.011514,0.093140,0.000000
OptimizedVectorAddition_int32_sg16,0,0,2097152,1024,1,0.000074,0.000001,,,0.000166,0.000016,0.000145,,0.003235,0.015333,0.090637,0.000000
OptimizedVectorAddition_int64_sg16,0,0,2097152,1024,1,0.000206,0.000070,,,0.000313,0.000083,0.000199,,0.009479,0.020771,0.097717,0.000000
OptimizedVectorAddition_fp32_sg16,0,0,2097152,1024,1,0.000078,0.000016,,,0.000174,0.000024,0.000144,,0.003350,0.014868,0.084351,0.000000
OptimizedVectorAddition_int32_sg32,0,0,2097152,1024,1,0.000089,0.000001,,,0.000182,0.000018,0.000159,,0.003317,0.014835,0.081421,0.000000
OptimizedVectorAddition_int64_sg32,0,0,2097152,1024,1,0.000236,0.000077,,,0.000337,0.000090,0.000230,,0.010491,0.021520,0.094238,0.000000
OptimizedVectorAddition_fp32_sg32,0,0,2097152,1024,1,0.000095,0.000032,,,0.000191,0.000040,0.000159,,0.004100,0.016265,0.090882,0.000000
OptimizedVectorAddition_int32_sg8,0,0,2097152,256,1,0.000058,0.000001,,,0.000155,0.000017,0.000123,,0.002754,0.014993,0.105346,0.000000
OptimizedVectorAddition_int64_sg8,0,0,2097152,256,1,0.000149,0.000016,,,0.000244,0.000024,0.000194,,0.005540,0.016530,0.084533,0.000000
OptimizedVectorAddition_fp32_sg8,0,0,2097152,256,1,0.000058,0.000002,,,0.000156,0.000019,0.000128,,0.001664,0.011421,0.097168,0.000000
OptimizedVectorAddition_int32_sg16,0,0,2097152,256,1,0.000076,0.000002,,,0.000173,0.000017,0.000142,,0.003745,0.017009,0.099243,0.000000
OptimizedVectorAddition_int64_sg16,0,0,2097152,256,1,0.000154,0.000013,,,0.000247,0.000018,0.000206,,0.007219,0.019259,0.086731,0.000000
OptimizedVectorAddition_fp32_sg16,0,0,2097152,256,1,0.000075,0.000002,,,0.000167,0.000015,0.000147,,0.003529,0.016948,0.098877,0.000000
OptimizedVectorAddition_int32_sg32,0,0,2097152,256,1,0.000085,0.000001,,,0.000180,0.000015,0.000154,,0.003963,0.017974,0.107361,0.000000
OptimizedVectorAddition_int64_sg32,0,0,2097152,256,1,0.000171,0.000016,,,0.000267,0.000023,0.000234,,0.007080,0.019992,0.095581,0.000000
OptimizedVectorAddition_fp32_sg32,0,0,2097152,256,1,0.000091,0.000010,,,0.000187,0.000019,0.000159,,0.002919,0.014077,0.086487,0.000000
OptimizedVectorAddition_int32_sg8,0,0,2097152,512,1,0.000057,0.000001,,,0.000152,0.000015,0.000129,,0.002207,0.013553,0.097229,0.000000
OptimizedVectorAddition_int64_sg8,0,0,2097152,512,1,0.000167,0.000049,,,0.000269,0.000060,0.000195,,0.006098,0.017599,0.098145,0.000000
OptimizedVectorAddition_fp32_sg8,0,0,2097152,512,1,0.000058,0.000001,,,0.000157,0.000018,0.000130,,0.001430,0.010333,0.087036,0.000000
OptimizedVectorAddition_int32_sg16,0,0,2097152,512,1,0.000076,0.000001,,,0.000170,0.000015,0.000149,,0.003220,0.015527,0.100098,0.000000
OptimizedVectorAddition_int64_sg16,0,0,2097152,512,1,0.000161,0.000015,,,0.000255,0.000021,0.000204,,0.006493,0.017559,0.074463,0.000000
OptimizedVectorAddition_fp32_sg16,0,0,2097152,512,1,0.000076,0.000004,,,0.000171,0.000021,0.000144,,0.002763,0.013863,0.089844,0.000000
OptimizedVectorAddition_int32_sg32,0,0,2097152,512,1,0.000087,0.000001,,,0.000182,0.000016,0.000159,,0.003437,0.015398,0.090638,0.000000
OptimizedVectorAddition_int64_sg32,0,0,2097152,512,1,0.000190,0.000015,,,0.000287,0.000025,0.000234,,0.007873,0.018968,0.076355,0.000000
OptimizedVectorAddition_fp32_sg32,0,0,2097152,512,1,0.000090,0.000012,,,0.000186,0.000021,0.000161,,0.004499,0.017370,0.092346,0.000000
